County,City,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
Bronx,New York,5/29/2000,10.5,0.024333,2.708333,0.35
Bronx,New York,5/29/2000,10.5,0.024333,2.675,0.3375
Bronx,New York,5/29/2000,10.5,0.024333,2.675,0.35
Bronx,New York,5/30/2000,15.909091,0.021,2.772727,0.378571
Bronx,New York,5/30/2000,15.909091,0.021,2.772727,0.3875
Bronx,New York,5/30/2000,15.909091,0.021,2.771429,0.378571
Bronx,New York,5/30/2000,15.909091,0.021,2.771429,0.3875
Bronx,New York,5/31/2000,31.5,0.013417,3.791667,0.8125
Bronx,New York,5/31/2000,31.5,0.013417,3.791667,0.8
Bronx,New York,5/31/2000,31.5,0.013417,3.75,0.8125
Bronx,New York,5/31/2000,31.5,0.013417,3.75,0.8
Bronx,New York,6/1/2000,53.708333,0.025556,10.916667,1.079167
Bronx,New York,6/1/2000,53.708333,0.025556,10.916667,0.941667
Bronx,New York,6/1/2000,53.708333,0.025556,10.875,1.079167
Bronx,New York,6/1/2000,53.708333,0.025556,10.875,0.941667
Bronx,New York,6/2/2000,43.625,0.034,8.666667,0.85
Bronx,New York,6/2/2000,43.625,0.034,8.666667,1.020833
Bronx,New York,6/2/2000,43.625,0.034,8.6375,0.85
Bronx,New York,6/2/2000,43.625,0.034,8.6375,1.020833
Bronx,New York,6/3/2000,19.25,0.020292,4.541667,0.475
Bronx,New York,6/3/2000,19.25,0.020292,4.541667,0.466667
Bronx,New York,6/3/2000,19.25,0.020292,4.5,0.475
Bronx,New York,6/3/2000,19.25,0.020292,4.5,0.466667
Bronx,New York,6/4/2000,23.916667,0.025583,4.458333,0.5625
Bronx,New York,6/4/2000,23.916667,0.025583,4.458333,0.6125
Bronx,New York,6/4/2000,23.916667,0.025583,4.425,0.5625
Bronx,New York,6/4/2000,23.916667,0.025583,4.425,0.6125
Bronx,New York,6/5/2000,17.619048,0.027875,3.809524,0.516667
Bronx,New York,6/5/2000,17.619048,0.027875,3.809524,0.533333
Bronx,New York,6/5/2000,17.619048,0.027875,3.633333,0.516667
Bronx,New York,6/5/2000,17.619048,0.027875,3.633333,0.533333
Bronx,New York,6/6/2000,18.333333,0.018222,3.333333,0.466667
Bronx,New York,6/6/2000,18.333333,0.018222,3.333333,0.4625
Bronx,New York,6/6/2000,18.333333,0.018222,3.325,0.466667
Bronx,New York,6/6/2000,18.333333,0.018222,3.325,0.4625
Bronx,New York,6/7/2000,24.875,0.019042,6.958333,0.545833
Bronx,New York,6/7/2000,24.875,0.019042,6.958333,0.45
Bronx,New York,6/7/2000,24.875,0.019042,6.925,0.545833
Bronx,New York,6/7/2000,24.875,0.019042,6.925,0.45
Bronx,New York,6/8/2000,44.625,0.025458,12.458333,0.945833
Bronx,New York,6/8/2000,44.625,0.025458,12.458333,1.016667
Bronx,New York,6/8/2000,44.625,0.025458,12.425,0.945833
Bronx,New York,6/8/2000,44.625,0.025458,12.425,1.016667
Bronx,New York,6/9/2000,41.208333,0.048458,12,0.695833
Bronx,New York,6/9/2000,41.208333,0.048458,12,0.670833
Bronx,New York,6/9/2000,41.208333,0.048458,11.9625,0.695833
Bronx,New York,6/9/2000,41.208333,0.048458,11.9625,0.670833
Bronx,New York,6/10/2000,31.458333,0.075583,10.5,0.7
Bronx,New York,6/10/2000,31.458333,0.075583,10.5,0.7125
Bronx,New York,6/10/2000,31.458333,0.075583,10.45,0.7
Bronx,New York,6/10/2000,31.458333,0.075583,10.45,0.7125
Bronx,New York,6/11/2000,22.791667,0.051917,8.416667,0.629167
Bronx,New York,6/11/2000,22.791667,0.051917,8.416667,0.670833
Bronx,New York,6/11/2000,22.791667,0.051917,8.3875,0.629167
Bronx,New York,6/11/2000,22.791667,0.051917,8.3875,0.670833
Bronx,New York,6/12/2000,19.952381,0.016292,2.571429,0.4375
Bronx,New York,6/12/2000,19.952381,0.016292,2.571429,0.454167
Bronx,New York,6/12/2000,19.952381,0.016292,2.483333,0.4375
Bronx,New York,6/12/2000,19.952381,0.016292,2.483333,0.454167
Bronx,New York,6/13/2000,18.916667,0.015458,2.541667,0.409091
Bronx,New York,6/13/2000,18.916667,0.015458,2.541667,0.4125
Bronx,New York,6/13/2000,18.916667,0.015458,2.525,0.409091
Bronx,New York,6/13/2000,18.916667,0.015458,2.525,0.4125
Bronx,New York,6/14/2000,17.375,0.015167,1.875,0.383333
Bronx,New York,6/14/2000,17.375,0.015167,1.875,0.379167
Bronx,New York,6/14/2000,17.375,0.015167,1.8625,0.383333
Bronx,New York,6/14/2000,17.375,0.015167,1.8625,0.379167
Bronx,New York,6/15/2000,33.25,0.00525,3.916667,0.75
Bronx,New York,6/15/2000,33.25,0.00525,3.916667,0.683333
Bronx,New York,6/15/2000,33.25,0.00525,3.9,0.75
Bronx,New York,6/15/2000,33.25,0.00525,3.9,0.683333
Bronx,New York,6/16/2000,42.041667,0.021458,10.458333,0.929167
Bronx,New York,6/16/2000,42.041667,0.021458,10.458333,0.941667
Bronx,New York,6/16/2000,42.041667,0.021458,10.45,0.929167
Bronx,New York,6/16/2000,42.041667,0.021458,10.45,0.941667
Bronx,New York,6/17/2000,22.25,0.029708,7.041667,0.558333
Bronx,New York,6/17/2000,22.25,0.029708,7.041667,0.625
Bronx,New York,6/17/2000,22.25,0.029708,7.0125,0.558333
Bronx,New York,6/17/2000,22.25,0.029708,7.0125,0.625
Bronx,New York,6/18/2000,21.875,0.025583,3.833333,0.533333
Bronx,New York,6/18/2000,21.875,0.025583,3.833333,0.5125
Bronx,New York,6/18/2000,21.875,0.025583,3.8125,0.533333
Bronx,New York,6/18/2000,21.875,0.025583,3.8125,0.5125
Bronx,New York,6/19/2000,23.458333,0.015167,4.681818,0.540909
Bronx,New York,6/19/2000,23.458333,0.015167,4.681818,0.529167
Bronx,New York,6/19/2000,23.458333,0.015167,4.85,0.540909
Bronx,New York,6/19/2000,23.458333,0.015167,4.85,0.529167
Bronx,New York,6/20/2000,29.047619,0.032958,4.541667,0.516667
Bronx,New York,6/20/2000,29.047619,0.032958,4.541667,0.525
Bronx,New York,6/20/2000,29.047619,0.032958,4.5125,0.516667
Bronx,New York,6/20/2000,29.047619,0.032958,4.5125,0.525
Bronx,New York,6/21/2000,34.708333,0.023778,6.708333,0.6
Bronx,New York,6/21/2000,34.708333,0.023778,6.708333,0.595833
Bronx,New York,6/21/2000,34.708333,0.023778,6.6625,0.6
Bronx,New York,6/21/2000,34.708333,0.023778,6.6625,0.595833
Bronx,New York,6/22/2000,29.916667,0.027667,7.5,0.595833
Bronx,New York,6/22/2000,29.916667,0.027667,7.5,0.608333
Bronx,New York,6/22/2000,29.916667,0.027667,7.4625,0.595833
Bronx,New York,6/22/2000,29.916667,0.027667,7.4625,0.608333
Bronx,New York,6/23/2000,25.541667,0.021958,5.833333,0.483333
Bronx,New York,6/23/2000,25.541667,0.021958,5.833333,0.491667
Bronx,New York,6/23/2000,25.541667,0.021958,5.8,0.483333
Bronx,New York,6/23/2000,25.541667,0.021958,5.8,0.491667
Bronx,New York,6/24/2000,29,0.039625,5.291667,0.608333
Bronx,New York,6/24/2000,29,0.039625,5.291667,0.6
Bronx,New York,6/24/2000,29,0.039625,5.25,0.608333
Bronx,New York,6/24/2000,29,0.039625,5.25,0.6
Bronx,New York,6/25/2000,24.958333,0.024125,4,0.6
Bronx,New York,6/25/2000,24.958333,0.024125,4,0.6125
